asof,ticker,smirk,otm_call_oi,otm_call_oi_d5
2026-08-06,NXST,0.2187478125,0.0,
2026-08-06,OABI,,0.0,
2026-08-06,OBIO,,0.0,
2026-08-06,OCGN,0.24999750000000004,0.0,
2026-08-06,OFRM,0.09374906250000001,0.0,
2026-08-06,OKLO,0.43749562500000005,0.0,
2026-08-06,OM,,0.0,
2026-08-06,OMDA,,0.0,
2026-08-06,ONIT,0.187498125,0.0,
2026-08-06,ONL,,0.0,
2026-08-06,ONTO,0.23437265625,0.0,
2026-08-06,OPTU,,0.0,
2026-08-06,ORGO,,0.0,
2026-08-06,ORIO,,0.0,
2026-08-06,OSCR,0.43749562500000005,0.0,
2026-08-06,OSG,0.187498125,0.0,
2026-08-06,OTEX,0.12499874999999999,0.0,
2026-08-06,OUST,0.4687453125,0.0,
2026-08-06,PAA,0.43749562500000005,0.0,
2026-08-06,PAR,0.2187478125,0.0,
2026-08-06,PAYO,0.12499874999999999,0.0,
2026-08-06,PBH,0.0,0.0,
2026-08-06,PBR,0.4687453125,0.0,
2026-08-06,PCT,0.37499625000000003,0.0,
2026-08-06,PDFS,0.23437265625,0.0,
2026-08-06,PDYN,0.23437265625,0.0,
2026-08-06,PENN,0.2187478125,0.0,
2026-08-06,PESI,0.12499874999999999,0.0,
2026-08-06,PGNY,0.12499874999999999,0.0,
2026-08-06,PH,0.23437265625,0.0,
2026-08-06,PK,0.0,0.0,
2026-08-06,PLNT,0.2187478125,0.0,
2026-08-06,PLSE,0.187498125,0.0,
2026-08-06,PLTK,,0.0,
2026-08-06,POST,0.23437265625,0.0,
2026-08-06,PPL,0.2187478125,0.0,
2026-08-06,PRAA,0.09374906250000001,0.0,
2026-08-06,PRAX,0.2187478125,0.0,
2026-08-06,PRDO,0.187498125,0.0,
2026-08-06,PRME,,0.0,
2026-08-06,PROF,,0.0,
2026-08-06,PRQR,,0.0,
2026-08-06,PRTA,,0.0,
2026-08-06,PRTH,,0.0,
2026-08-06,PRTS,-0.24999750000000004,0.0,
2026-08-06,PRVA,1.3222593261718747,0.0,
2026-08-06,PSIX,0.187498125,0.0,
2026-08-06,PTON,0.24999750000000004,0.0,
2026-08-06,PUBM,0.37499625000000003,0.0,
2026-08-06,PZZA,0.23437265625,0.0,
2026-08-06,QBTS,-0.43749562500000005,0.0,
2026-08-06,QDEL,0.12499874999999999,0.0,
2026-08-06,QNST,0.12499874999999999,0.0,
2026-08-06,QRHC,,0.0,
2026-08-06,QSR,0.187498125,0.0,
2026-08-06,RANI,,0.0,
2026-08-06,RAPP,0.187498125,0.0,
2026-08-06,RC,,0.0,
2026-08-06,RCAT,0.37499625000000003,0.0,
2026-08-06,RCEL,,0.0,
2026-08-06,RCKT,0.0,0.0,
2026-08-06,RDNT,0.187498125,0.0,
2026-08-06,REAL,0.0,0.0,
2026-08-06,REAX,0.0,0.0,
2026-08-06,REFR,,0.0,
2026-08-06,REPL,0.43749562500000005,0.0,
2026-08-06,RGA,0.23437265625,0.0,
2026-08-06,RGCO,,0.0,
2026-08-06,RGNX,0.187498125,0.0,
2026-08-06,RGTI,0.43749562500000005,0.0,
2026-08-06,RHP,1.1538029809570312,0.0,
2026-08-06,RILY,0.43749562500000005,0.0,
2026-08-06,RKT,0.43749562500000005,0.0,
2026-08-06,RL,0.2187478125,0.0,
2026-08-06,RLAY,0.2187478125,0.0,
2026-08-06,RLJ,0.2187478125,0.0,
2026-08-06,RLMD,,0.0,
2026-08-06,RMAX,0.187498125,0.0,
2026-08-06,RMD,0.2187478125,0.0,
2026-08-06,RNAC,-0.12499874999999999,0.0,
2026-08-06,ROAD,0.187498125,0.0,
2026-08-06,ROIV,1.5810468603515622,0.0,
2026-08-06,ROKU,0.4687453125,0.0,
2026-08-06,RR,,0.0,
2026-08-06,RSG,0.10937390625,0.0,
2026-08-06,RWAY,0.0,0.0,
2026-08-06,RXO,0.12499874999999999,0.0,
2026-08-06,SABR,0.24999750000000004,0.0,
2026-08-06,SABS,0.12499874999999999,0.0,
2026-08-06,SARO,0.12499874999999999,0.0,
2026-08-06,SBET,0.37499625000000003,0.0,
2026-08-06,SENS,,0.0,
2026-08-06,SERV,0.24999750000000004,0.0,
2026-08-06,SEZL,0.2187478125,0.0,
2026-08-06,SG,0.24999750000000004,0.0,
2026-08-06,SGI,0.187498125,0.0,
2026-08-06,SHAZ,0.187498125,0.0,
2026-08-06,SHC,0.12499874999999999,0.0,
2026-08-06,SHO,,0.0,
2026-08-06,SIGA,,0.0,
2026-08-06,SKIN,0.0,0.0,
2026-08-06,SKYE,,0.0,
2026-08-06,SLF,0.187498125,0.0,
2026-08-06,SLN,0.0,0.0,
2026-08-06,SLVM,0.2187478125,13.0,
2026-08-06,SPB,0.187498125,0.0,
2026-08-06,SPH,0.12499874999999999,0.0,
2026-08-06,SPT,0.0,0.0,
2026-08-06,SRE,0.187498125,0.0,
2026-08-06,SRRK,0.187498125,0.0,
2026-08-06,SSP,,0.0,
2026-08-06,STEP,0.0,0.0,
2026-08-06,STHO,0.12499874999999999,0.0,
2026-08-06,STRO,-10.677730045166017,0.0,
2026-08-06,STWD,0.187498125,0.0,
2026-08-06,SUIG,,0.0,
2026-08-06,SUNS,,0.0,
2026-08-06,SVV,,0.0,
2026-08-06,SYNA,0.187498125,0.0,
2026-08-06,TAP,0.23437265625,0.0,
2026-08-06,TBCH,0.37499625000000003,0.0,
2026-08-06,TCPC,0.0,0.0,
2026-08-06,TCX,0.062499374999999996,0.0,
2026-08-06,TDAY,1.4648367382812497,0.0,
2026-08-06,TDS,0.12499874999999999,0.0,
2026-08-06,TEAD,,0.0,
2026-08-06,TEAM,0.4687453125,0.0,
2026-08-06,TECX,0.2187478125,0.0,
2026-08-06,TFX,0.2187478125,0.0,
2026-08-06,TG,,0.0,
2026-08-06,TGLS,0.187498125,0.0,
2026-08-06,TIC,,0.0,
2026-08-06,TIGO,0.2187478125,0.0,
2026-08-06,TILE,,0.0,
2026-08-06,TMCI,,0.0,
2026-08-06,TNDM,0.2187478125,0.0,
2026-08-06,TRAX,0.187498125,0.0,
2026-08-06,TRC,,0.0,
2026-08-06,TRGP,0.2187478125,0.0,
2026-08-06,TRIP,0.37499625000000003,0.0,
2026-08-06,TRLV,-0.12499874999999999,0.0,
2026-08-06,TRVI,0.2187478125,0.0,
2026-08-06,TSQ,,0.0,
2026-08-06,TTD,0.48437015625,0.0,
2026-08-06,TTGT,,0.0,
2026-08-06,TTWO,0.4687453125,0.0,
2026-08-06,TUSK,-0.24999750000000004,0.0,
2026-08-06,TWLO,0.4687453125,0.0,
2026-08-06,TXG,0.187498125,0.0,
2026-08-06,TXRH,0.4687453125,0.0,
2026-08-06,U,0.43749562500000005,0.0,
2026-08-06,UA,0.24999750000000004,0.0,
2026-08-06,UAA,0.43749562500000005,0.0,
2026-08-06,UE,,0.0,
2026-08-06,UEIC,,0.0,
2026-08-06,UMAC,0.43749562500000005,0.0,
2026-08-06,USFD,0.7206959179687501,0.0,
2026-08-06,UTZ,0.062499374999999996,0.0,
2026-08-06,UWMC,0.0,0.0,
2026-08-06,VAC,0.2187478125,0.0,
2026-08-06,VIA,0.187498125,0.0,
2026-08-06,VISN,0.187498125,0.0,
2026-08-06,VITL,0.2187478125,0.0,
2026-08-06,VNT,0.187498125,0.0,
2026-08-06,VSNT,0.12499874999999999,0.0,
2026-08-06,VST,0.48437015625,0.0,
2026-08-06,VSTM,0.2187478125,0.0,
2026-08-06,VTEX,,0.0,
2026-08-06,VTGN,,0.0,
2026-08-06,VTRS,0.2187478125,0.0,
2026-08-06,WBD,0.43749562500000005,0.0,
2026-08-06,WD,1.0107374462890628,0.0,
2026-08-06,WEAV,0.43749562500000005,0.0,
2026-08-06,WEN,0.48437015625,0.0,
2026-08-06,WEST,0.12499874999999999,0.0,
2026-08-06,WHG,,0.0,
